"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"6bbc47b74ddf8d10712c00b5b6d65811",16.6249273150913,4.39499363502674,1.31922594328433,3.33149424281713,0.000863810868048216,0.00134485524366788,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","uncultured",NA
"91e174c6749dda5377d0b1011de3b253",35.014649679962,-5.51241282509523,1.32992622040915,-4.14490122873084,3.39960213477611e-05,0.000147316092506965,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"7697ef6b0158c244e17c88fff2231651",26.2180553446428,-5.08444120112008,1.38825664144935,-3.66246488531968,0.000249800002990222,0.000555111117756048,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Luedemannella","metagenome"
"ec5d169f61c6d8b8e2f8c8b7131a6c87",58.5703836050463,6.26006613448824,1.28446392985187,4.8736799757469,1.09538383184939e-06,1.67529291929907e-05,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"2e4bd538963cf2e798f10cd619d42c69",29.9599587541211,-5.28222198046781,1.40602062563495,-3.75685952550118,0.000172059014603382,0.000415435786351874,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium",NA
"6c1ab3928a82f15994c204e01561c4e5",29.6211651115517,5.25802870433785,1.40183873992167,3.75080853068138,0.000176265265109177,0.000420287614755638,"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured_Planctomycetaceae"
"9861735d2fcc99434c938d668b7783d2",642.990709219834,-5.06766615736662,1.81906931944066,-2.78585653840002,0.00533864933465395,0.00788664106255697,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_xinghaiensis"
"b72b4a482fd0743eb70757c63649291d",43.1391095849505,5.81214889709018,1.44173193918112,4.03136584488193,5.54536464650795e-05,0.000200249278901676,"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,NA
"3fadeada3375d56ad4526967d281ead5",37.0374257508566,5.5878952647204,1.33580677316845,4.18316135010027,2.8748320343339e-05,0.000128871780849451,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"15e63cb266275481ffa6da1c02b10217",25.7523062453258,5.05042679982989,1.3911382151584,3.6304277639694,0.000282951888330003,0.000607995793105792,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","uncultured","metagenome"
"279b1f61092a2d8051612adbcf104b15",59.1444169123672,3.59533790751172,1.41202956646391,2.54621998922825,0.0108896537447922,0.0159961015460224,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44",NA
"4532a5277455771e3d1b1da55609d341",30.6077985524199,-5.31379334888956,1.4084034161955,-3.77291995161702,0.000161348066775216,0.000399528546300535,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","uncultured_Pirellula"
"a864cefe5d2fc9832f2ceb234d89c2f6",457.354543883204,-9.24859938211834,1.61575114834249,-5.72402463807993,1.04029653187877e-08,5.13176681191256e-07,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_xinghaiensis"
"7abfd6954895edb33eafb6662a439931",19.7394101295688,4.65350881902314,1.34507105401246,3.45967508938754,0.000540827538948132,0.000916333206990298,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"af4d928da7efb7d98a1edf82b47ed984",37.0148078326029,-5.59431483786728,1.42266900452734,-3.93226732294339,8.41484139317462e-05,0.000270344456958376,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_caeruleatus"
"d32ebf12c8232e594c249c7a58b7d213",59.229608137851,-6.28369425447289,1.40215469606143,-4.4814557709812,7.41355982167715e-06,7.13898353198541e-05,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
