OTUID	F346	F347	F348	F350	F351	F352	F353	F354	F355	F356	F357	F358	F359	F360	F361	F362	F363	F364	F365	F366	F367	F368	F369	taxonomy
9772b9a6a353eabf6dc00106993fc838	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae
5e250972cf4ee64853363f92502cbc29	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales
692df53128770e8f92c31903050758b4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales
ac1e6b30de2bcfc65b5862eee7646537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Readeriella
bd80c0d79208a2de1cd7cab8e25fb12f	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales
b0c5262779f4b13898e969c6cb3b6e9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales
e2122b6469d84f6c28c81ffb6e2b4ee7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Plectosphaerella
242b93563f1b3bcdfdf1a32a8624748a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales
e55c0d21e2e1b8804601caa626f76514	0	0	0	0	0	11	28	70	27	228	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
a705b9b85f419a9b678835bcda7a5011	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae
d9b52a4eaa4b9901439363d9ea837ad6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; g__Oidiodendron
6dfe7a1c241a7f2bd8388ac8755c56a8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	166	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae
e958132d2ed02ad465669cd562ab4a07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	143	119	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales
19612b4f5a40d6901aaa595b85ad0cb7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Botryobasidiaceae; g__Botryobasidium
4b2528179c5f9ea609554bb85f4423e1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales
430916c45acbc2e551407fe41ebe3eec	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes
b3bcab07bdfea409b5d00763dbdf6013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	k__Fungi; p__Rozellomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
c3e624a906b877fab081cb43a525e992	0	0	0	0	0	0	0	0	90	211	0	0	0	0	0	0	0	0	76	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
c44aafc76816f51ad17d26726fe7b903	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Microbotryomycetes_ord_Incertae_sedis; f__Chrysozymaceae
38c0c6c754d5a5301655658d52c767ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
a205837f5bed0e60c939952f352f4ea9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	102	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; g__Oidiodendron
9f322123f27d266cfddbd0e168b759e8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
84e3999e199bba55b83568c7e8411457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	74	0	k__Fungi; p__Ascomycota; c__Sordariomycetes
